OF_ratio,temperature_K,pressure_Pa,P,CV,CP,T,M_avg,rho
0.1,273.3,1.0,1.0000000000010851,2027.8555665937336,2210.721284881225,531.854294387741,45.46758515492599,1.0281939249902611e-05
0.1,273.3,2501.0,2501.0000000005475,2165.3296313244277,2342.2308074910175,578.3020671053189,47.00060676998218,0.024447149404275142
0.1,273.3,5001.0,5001.000000974853,2171.493850823215,2347.9326880750446,580.5880215379547,47.12376678319449,0.04881964265185354
0.1,273.3,7501.0,7501.000000001436,2175.0275746878533,2351.1774788639354,581.9207001886114,47.201062396502785,0.07317672146950005
0.1,273.3,10001.0,10001.000000000371,2177.535588907038,2353.4707535986495,582.8758737308802,47.25867414127958,0.0975247163686309
0.1,273.3,12501.0,12501.000000003183,2179.4912339942357,2355.2539673009564,583.6256565766014,47.305037090222015,0.12186628773011374
0.1,273.3,15001.0,15001.000000025742,2181.099482687629,2356.7174816161105,584.2452807121159,47.34402321449524,0.1462028954881328
0.1,273.3,17501.0,17501.00000009185,2182.4680729904517,2357.961026836319,584.7745771899944,47.37775754493093,0.17053546009851825
0.1,273.3,20001.0,20001.000000234675,2183.6608237780174,2359.0435210924243,585.2372792517233,47.407542166192094,0.19486461427440005
0.1,273.3,22501.0,22501.000000493957,2184.7187548633683,2360.0027500304914,585.6487167493518,47.43423728005441,0.2191908194687576
0.1,273.3,25001.0,25001.000000918655,2185.669847872561,2360.8644403571716,586.0193909272762,47.45844321013287,0.24351442706831566
0.1,273.3,27501.0,27501.00000156518,2186.5340752890943,2361.646925104547,586.3568246114163,47.48059680894735,0.2678357135776212
0.1,273.3,30001.0,30001.000002498753,2187.3262107858154,2362.3637459345264,586.6666002619438,47.50102662888464,0.29215490226677787
0.1,273.3,32501.0,32501.00000379064,2188.057502145973,2363.0251997179043,586.9529800960534,47.51998645198526,0.3164721772138487
0.1,273.3,35001.0,35001.00000552182,2188.7367188599906,2363.639305606133,587.2192956533162,47.537676673822084,0.34078769280897714
0.1,273.3,37501.0,37501.00000777406,2189.3708359761654,2364.2124354863063,587.4682028313177,47.55425849138942,0.36510158041495583
0.1,273.3,40001.0,40001.000010642725,2189.965496280937,2364.7497395638397,587.7018547053383,47.56986363293391,0.3894139531734773
0.1,273.3,42501.0,42501.000014220175,2190.52533200545,2365.2554422705143,587.9220221120705,47.58460122036352,0.413724909559705
0.1,273.3,45001.0,45001.00001859892,2191.054194496369,2365.733053304867,588.1301799275074,47.59856272743599,0.4380345360681188
0.1,273.3,47501.0,47501.00002388008,2191.5553218299196,2366.1855215069777,588.3275701619448,47.61182563800017,0.4623429092795213
0.1,273.3,50001.0,50001.000000000495,2192.0314635798854,2366.615349294783,588.5152489795782,47.62445619827201,0.4866500972266429
0.1,273.3,52501.0,52501.0000000005,2192.484974959711,2367.0246789696203,588.694122410139,47.63651150503377,0.5109561616180137
0.1,273.3,55001.0,55001.00000000011,2192.917889691412,2367.4153594189506,588.8649737178664,47.648041150026366,0.5352611575415073
0.1,273.3,57501.0,57501.000000000786,2193.3319762710425,2367.7889976312003,589.0284848630054,47.6590884868339,0.5595651351373805
0.1,273.3,60001.0,60001.00000000153,2193.7287825684753,2368.146999482003,589.1852533989007,47.66969164852382,0.583868140088859
0.1,273.3,62501.0,62501.00000000146,2194.1096713465267,2368.4906022004325,589.335805973408,47.679884362579806,0.6081702141926725
0.1,273.3,65001.0,65001.000000000706,2194.4758488709904,2368.8209005050517,589.4806092182046,47.68969661154917,0.632471395836003
0.1,273.3,67501.0,67501.00000000397,2194.8283881696566,2369.138867840254,589.6200786123384,47.69915517337477,0.6567717203983543
0.1,273.3,70001.0,70001.00000000719,2195.1682481023054,2369.4453737790363,589.7545857579215,47.7082840669282,0.6810712205923753
0.1,273.3,72501.0,72501.0000000122,2195.4962891189953,2369.7411983967095,589.8844643989634,47.71710492213876,0.705369926755196
0.1,273.3,75001.0,75001.0000000214,2195.8132863760325,2370.027044229038,590.0100154362624,47.7256372896143,0.7296678670985833
0.1,273.3,77501.0,77501.00000003254,2196.119940725899,2370.3035462877046,590.1315111336421,47.73389890131208,0.7539650679250999
0.1,273.3,80001.0,80001.00000004777,2196.4168879834856,2370.57128050148,590.2491986678357,47.74190589131508,0.7782615538159734
0.1,273.3,82501.0,82501.00000007088,2196.704706784157,2370.8307708718394,590.3633031416656,47.7496729838586,0.8025573477949607
0.1,273.3,85001.0,85001.00000009725,2196.983925283804,2371.0824955718244,590.4740301554529,47.757213654300585,0.8268524714719365
0.1,273.3,87501.0,87501.00000013036,2197.255026900817,2371.32689217097,590.5815680125261,47.76454026760449,0.8511469451695622
0.1,273.3,90001.0,90001.00000017208,2197.518455260056,2371.564362132575,590.6860896197782,47.771664198016566,0.8754407880350183
0.1,273.3,92501.0,92501.00000022276,2197.774618469,2371.795274702245,590.787754132755,47.77859593293975,0.8997340181392215
0.1,273.3,95001.0,95001.00000028424,2198.023892831842,2372.0199702843,590.8867083855663,47.78534516345663,0.9240266525652052
0.1,273.3,97501.0,97501.00000035355,2198.2666260882006,2372.2387633851604,590.9830881386729,47.791920863517085,0.9483187074869437
