OF_ratio,temperature_K,pressure_Pa,P,CV,CP,T,M_avg,rho
0.1,273.0,1.0,1.0000000000009581,2027.6991236719607,2210.552709184189,531.7852961639376,45.47060203857582,1.0283955633683798e-05
0.1,273.0,501.0,501.0000000001153,2148.665089311771,2326.559022761687,572.318045467323,46.738314550192875,0.004920838911697095
0.1,273.0,1001.0,1001.0000000002026,2156.185702785686,2333.654802660596,574.9792572133244,46.85019884596086,0.009809777417903648
0.1,273.0,1501.0,1501.0000000002854,2160.2056586452486,2337.4250604028275,576.4225567427259,46.91620971346425,0.014693608311877632
0.1,273.0,2001.0,2001.000000000396,2162.9271560951292,2339.966517974373,577.4096358744082,46.96392107323809,0.01957461486300564
0.1,273.0,2501.0,2501.00000000052,2164.9790123349794,2341.876172179924,578.1596854605637,47.00167388465194,0.024453725121620515
0.1,273.0,3001.0,3001.000000000598,2166.6248583048414,2343.4037404090154,578.7651414114815,47.033121372798476,0.029331430639422517
0.1,273.0,3501.0,3501.0000000006617,2167.999184302316,2344.6763618025448,579.27339161675,47.060196092064366,0.03420803108181516
0.1,273.0,4001.0,4001.000000348752,2169.1795221674943,2345.7671999179474,579.7118720216222,47.084047562497034,0.03908372615069738
0.1,273.0,4501.0,4501.000000575023,2170.214496278391,2346.7220652003143,580.097855333308,47.105416889125344,0.04395865742063606
0.1,273.0,5001.0,5001.000000890014,2171.1365461068376,2347.5714742599807,580.4429051831994,47.1248108590857,0.04883292995528572
0.1,273.0,5501.0,5501.000001312033,2171.968363711109,2348.336744570089,580.7551364638227,47.14259198649265,0.053706624505471146
0.1,273.0,6001.0,6001.000001859983,2172.7264295221753,2349.0333382996514,581.0404601788097,47.15902896719291,0.05857980489005022
0.1,273.0,6501.0,6501.000002554359,2173.423082871585,2349.6728184106723,581.3033142358559,47.17432677400708,0.06345252270181978
0.1,273.0,7001.0,7001.000003416228,2174.0677985703755,2350.2640535053324,581.5471150687476,47.18864553178231,0.06832482044022876
0.1,273.0,7501.0,7501.000000001388,2174.6680081144114,2350.813992160324,581.774548762949,47.202112856493336,0.0731967336344545
0.1,273.0,8001.0,8001.000000000129,2175.22964674841,2351.3281783371704,581.9877655599922,47.21483219161556,0.07806829251883923
0.1,273.0,8501.0,8501.000000000126,2175.7575297526178,2351.811105546378,582.1885136141314,47.22688863697552,0.08293952295605374
0.1,273.0,9001.0,9001.000000000036,2176.255617299101,2352.2664659744983,582.3782335839825,47.238353094285216,0.08781044739287361
0.1,273.0,9501.0,9501.000000000144,2176.7272056722795,2352.6973301879284,582.5581269253007,47.24928530361893,0.09268108546442913
0.1,273.0,10001.0,10001.000000000073,2177.1750679140923,2353.1062792118873,582.7292062300588,47.259736102649384,0.09755145448287596
0.1,273.0,10501.0,10501.000000000327,2177.6015591389773,2353.4955033595966,582.892332982375,47.269749137722464,0.10242156982037706
0.1,273.0,11001.0,11001.000000000355,2178.0086966434483,2353.866877355925,583.0482463236302,47.27936217961418,0.10729144521322445
0.1,273.0,11501.0,11501.000000000635,2178.3982217097105,2354.222018255435,583.1975852781655,47.288608149187446,0.11216109300627572
0.1,273.0,12001.0,12001.000000001246,2178.7716478976436,2354.56233066884,583.340906145418,47.2975159267973,0.11703052435149815
0.1,273.0,12501.0,12501.000000002408,2179.130299218041,2354.889042490559,583.4786962672662,47.3061109981963,0.1218997493708538
0.1,273.0,13001.0,13001.000000004124,2179.475340626811,2355.203233421829,583.6113850409176,47.314415975225046,0.12676877729111238
0.1,273.0,13501.0,13501.000000006636,2179.8078026210305,2355.505857963344,583.7393528134068,47.322451019472595,0.13163761655634384
0.1,273.0,14001.0,14001.000000010068,2180.1286012539576,2355.7977641147822,583.8629381287279,47.330234189938366,0.13650627492249356
0.1,273.0,14501.0,14501.000000014506,2180.4385545558357,2356.0797087078295,583.9824436809168,47.33778173057429,0.14137475953744133
0.1,273.0,15001.0,15001.000000020338,2180.7383961079704,2356.3523700742317,584.0981412409822,47.34510830983524,0.14624307700921504
0.1,273.0,15501.0,15501.000000027809,2181.028786342326,2356.6163585856434,584.2102757630545,47.352227221591896,0.15111123346444627
0.1,273.0,16001.0,16001.000000036815,2181.3103220093317,2356.872225480364,584.3190688287679,47.35915055469394,0.15597923459873503
0.1,273.0,16501.0,16501.00000004781,2181.583544158937,2357.1204703002913,584.4247215539211,47.36588933691289,0.16084708572031023
0.1,273.0,17001.0,17001.00000006132,2181.8489449068684,2357.3615471928783,584.5274170553703,47.37245365779631,0.16571479178798532
0.1,273.0,17501.0,17501.00000007712,2182.106973201271,2357.5958702795197,584.6273225556245,47.37885277406417,0.17058235744437153
0.1,273.0,18001.0,18001.00000009597,2182.358039762244,2357.823818251872,584.7245911874134,47.38509520045641,0.17544978704503808
0.1,273.0,18501.0,18501.000000117263,2182.602521332529,2358.045738325423,584.8193635481183,47.39118878839292,0.180317084684189
0.1,273.0,19001.0,19001.000000141685,2182.8407643517844,2358.2619496554466,584.9117690446886,47.39714079437161,0.18518425421742826
0.1,273.0,19501.0,19501.000000170192,2183.073088145732,2358.4727463006884,585.0019270620767,47.4029579396776,0.19005129928193906
0.1,273.0,20001.0,20001.00000020248,2183.2997877051853,2358.6783998048572,585.0899479823513,47.408646462705015,0.19491822331445138
0.1,273.0,20501.0,20501.000000239557,2183.5211361168226,2358.879161453706,585.1759340768697,47.41421216497043,0.19978502956733993
0.1,273.0,21001.0,21001.000000280255,2183.7373866967255,2359.0752642553343,585.2599802900456,47.41966045171288,0.20465172112299618
0.1,273.0,21501.0,21501.000000326603,2183.9487748694182,2359.266924683601,585.3421749301955,47.424996367835426,0.209518300906839
0.1,273.0,22001.0,22001.00000037822,2184.155519828055,2359.4543442179056,585.4226002804415,47.43022462981572,0.21438477169891873
0.1,273.0,22501.0,22501.000000434953,2184.3578260055365,2359.637710707101,585.501333140461,47.43534965412389,0.21925113614450953
0.1,273.0,23001.0,23001.00000049761,2184.5558843821386,2359.817199581406,585.5784453084207,47.44037558259749,0.22411739676366035
0.1,273.0,23501.0,23501.000000567084,2184.7498736508296,2359.9929749320413,585.6540040107805,47.44530630515981,0.2289835559598626
0.1,273.0,24001.0,24001.000000643337,2184.9399612584557,2360.165190475528,585.7280722866137,47.45014548021013,0.2338496160279425
0.1,273.0,24501.0,24501.000000726344,2185.1263043385707,2360.3339904173426,585.8007093321892,47.45489655296929,0.23871557916125755
0.1,273.0,25001.0,25001.00000081776,2185.30905054904,2360.4995102271514,585.8719708105672,47.45956277202501,0.24358144745830895
0.1,273.0,25501.0,25501.000000916752,2185.4883388258268,2360.66187733624,585.9419091304645,47.46414720428202,0.24844722292871788
0.1,273.0,26001.0,26001.000001025357,2185.6643000631475,2360.8212117666358,586.0105736979939,47.46865274850387,0.25331290749879704
0.1,273.0,26501.0,26501.00000114205,2185.8370577279657,2360.9776266992867,586.0780111443182,47.473082147601666,0.2581785030165828
0.1,273.0,27001.0,27001.000001267992,2186.006728417007,2361.131228988984,586.1442655320851,47.47743799980717,0.2630440112565419
0.1,273.0,27501.0,27501.000001405846,2186.173422361837,2361.282119631078,586.2093785427628,47.481722768853615,0.26790943392391775
0.1,273.0,28001.0,28001.00000155235,2186.337243888481,2361.4303941861294,586.2733896472627,47.48593879326029,0.2727747726585684
0.1,273.0,28501.0,28501.000001710097,2186.498291835824,2361.5761431662927,586.3363362612581,47.49008829483096,0.2776400290388491
0.1,273.0,29001.0,29001.000001879995,2186.656659937607,2361.7194523880567,586.3982538871865,47.49417338642408,0.28250520458487616
0.1,273.0,29501.0,29501.000002061974,2186.8124371714707,2361.8604032944236,586.4591762440181,47.49819607908617,0.28737030076171627
0.1,273.0,30001.0,30001.000002255754,2186.9657080783936,2361.999073249668,586.5191353860728,47.50215828860582,0.29223531898238847
0.1,273.0,30501.0,30501.000002464436,2187.116553055967,2362.1355358099436,586.5781618122235,47.50606184153654,0.2971002606105525
0.1,273.0,31001.0,31001.00000268601,2187.2650486273637,2362.269860971345,586.6362845660825,47.5099084807491,0.3019651269629927
0.1,273.0,31501.0,31501.000002923374,2187.411267688764,2362.4021153980457,586.6935313281809,47.51369987055742,0.3068299193121398
0.1,273.0,32001.0,32001.00000317401,2187.5552797374316,2362.5323626325835,586.7499285010448,47.51743760144497,0.31169463888810695
0.1,273.0,32501.0,32501.00000344123,2187.6971510817143,2362.660663289369,586.8055012875087,47.521123194447895,0.3165592868809657
0.1,273.0,33001.0,33001.00000372525,2187.8369450354558,2362.7870752338727,586.8602737633094,47.524758105201364,0.3214238644424759
0.1,273.0,33501.0,33501.000004024056,2187.9747220969143,2362.9116537473687,586.9142689439136,47.528343727707245,0.3262883726880745
0.1,273.0,34001.0,34001.00000434291,2188.110540115806,2363.0344516808955,586.9675088469213,47.531881397812306,0.33115281269841756
0.1,273.0,34501.0,34501.00000468029,2188.244454446234,2363.155519595933,587.0200145492271,47.535372396464744,0.33601718552115606
0.1,273.0,35001.0,35001.000005034926,2188.376518090247,2363.274905896649,587.0718062407386,47.538817952722574,0.3408814921722938
0.1,273.0,35501.0,35501.00000540933,2188.5067818307143,2363.3926569521927,587.1229032740818,47.54221924656801,0.3457457336376371
0.1,273.0,36001.0,36001.000005802445,2188.6352943543984,2363.508817209918,587.1733242107241,47.545577411525294,0.3506099108740844
0.1,273.0,36501.0,36501.00000621923,2188.7621023669,2363.623429301096,587.2230868639249,47.54889353711761,0.3554740248111112
0.1,273.0,37001.0,37001.000006657065,2188.887250700056,2363.736534139768,587.2722083390987,47.55216867114049,0.36033807635159804
0.1,273.0,37501.0,37501.000007116236,2189.010782411672,2363.848171014413,587.3207050711553,47.55540382180537,0.3652020663731634
0.1,273.0,38001.0,38001.000007599054,2189.1327388791633,2363.958377674079,587.3685928596152,47.55859995973912,0.3700659957291267
0.1,273.0,38501.0,38501.00000810283,2189.2531598861883,2364.0671904079595,587.4158869011264,47.561758019861884,0.37492986524959154
0.1,273.0,39001.0,39001.00000863329,2189.372083704618,2364.1746441207547,587.4626018202389,47.56487890314511,0.3797936757424332
0.1,273.0,39501.0,39501.00000918758,2189.489547171219,2364.280772403178,587.5087516981798,47.567963478254754,0.38465742799392005
0.1,273.0,40001.0,40001.00000976936,2189.605585758926,2364.385607597392,587.5543500997265,47.571012583106054,0.3895211227697617
0.1,273.0,40501.0,40501.00001037782,2189.7202336438468,2364.4891808585203,587.5994100982501,47.57402702632495,0.3943847608159755
0.1,273.0,41001.0,41001.00001101375,2189.833523768678,2364.591522212935,587.6439442996528,47.577007588613036,0.3992483428595142
0.1,273.0,41501.0,41501.00001167476,2189.945487901968,2364.6926606126826,587.6879648646661,47.57995502403599,0.4041118696089114
0.1,273.0,42001.0,42001.00001236515,2190.0561566935703,2364.792623986332,587.7314835296748,47.582870061249395,0.4089753417552399
0.1,273.0,42501.0,42501.00001309026,2190.1655597272593,2364.891439287319,587.7745116265606,47.585753404636584,0.4138387599725634
0.1,273.0,43001.0,43001.000013834186,2190.2737255700113,2364.989132539154,587.8170601012392,47.588605735392846,0.4187021249183933
0.1,273.0,43501.0,43501.00001461887,2190.380681818593,2365.0857288781503,587.8591395312336,47.59142771255384,0.4235654372348833
0.1,273.0,44001.0,44001.000015433594,2190.486455143442,2365.181252593713,587.9007601421871,47.5942199739523,0.42842869754864515
0.1,273.0,44501.0,44501.00001628239,2190.5910713303583,2365.275727166602,587.9419318236306,47.59698313713115,0.43329190647163146
0.1,273.0,45001.0,45001.000017154875,2190.6945553182763,2365.3691753033986,587.9826641431371,47.599717800224184,0.43815506460195436
0.1,273.0,45501.0,45501.000018067076,2190.796931238844,2365.461618973134,588.0229663614352,47.602424542742504,0.44301817252362213
0.1,273.0,46001.0,46001.000019020576,2190.898222448768,2365.5530794366014,588.0628474443757,47.605103926382206,0.447881230807809
0.1,273.0,46501.0,46501.00002000589,2190.998451563892,2365.6435772777504,588.1023160759794,47.60775649573981,0.4527442400127469
0.1,273.0,47001.0,47001.00002102501,2191.0976404911194,2365.7331324329866,588.1413806704425,47.61038277901122,0.4576072006842471
0.1,273.0,47501.0,47501.000022083004,2191.195810456957,2365.8217642172167,588.1800493829609,47.61298328865821,0.46247011335636706
0.1,273.0,48001.0,48001.00002317075,2191.292982036246,2365.909491350226,588.2183301204498,47.61555852203474,0.4673329785515497
0.1,273.0,48501.0,48501.000024309185,2191.3891751792203,2365.9963319815142,588.2562305519108,47.61810896198043,0.4721957967811717
0.1,273.0,49001.0,49001.00002548443,2191.484409235359,2366.0823037119985,588.2937581174313,47.62063507739316,0.477058568545778
0.1,273.0,49501.0,49501.00002668824,2191.57870297973,2366.16742361839,588.3309200381873,47.623137323752964,0.48192129433493125
0.1,273.0,50001.0,50001.00002795072,2191.6720746333067,2366.251708271474,588.3677233239713,47.62561614366629,0.4867839746290668
0.1,273.0,50501.0,50501.00000000008,2191.7645419461064,2366.3351738068177,588.404174769239,47.62807197024582,0.4916466096542125
0.1,273.0,51001.0,51001.00000000032,2191.856121980318,2366.4178357486508,588.4402810125309,47.63050521598145,0.4965092003466398
0.1,273.0,51501.0,51501.00000000024,2191.946831482882,2366.499709317413,588.4760484663615,47.63291629047216,0.5013717469250656
0.1,273.0,52001.0,52001.00000000049,2192.03668667045,2366.5808092550733,588.5114833757855,47.635305589405725,0.5062342498317524
0.1,273.0,52501.0,52501.00000000077,2192.1257033053193,2366.6611498891434,588.5465918123642,47.637673497801714,0.511096709500241
0.1,273.0,53001.0,53001.00000000079,2192.2138967124056,2366.740745148207,588.5813796806062,47.64002039039647,0.5159591263556084
0.1,273.0,53501.0,53501.00000000099,2192.301281795379,2366.8196085766745,588.6158527240773,47.642346632012206,0.5208215008147599
0.1,273.0,54001.0,54001.00000000023,2192.3878730521706,2366.8977533489733,588.6500165312933,47.64465257790664,0.5256838332865943
0.1,273.0,54501.0,54501.00000000082,2192.4736845896514,2366.9751922829705,588.6838765412809,47.64693857411043,0.5305461241723243
0.1,273.0,55001.0,55001.00000000029,2192.5587301377373,2367.051937852876,588.717438048946,47.64920495774631,0.5354083738655699
0.1,273.0,55501.0,55501.0000000007,2192.643023062804,2367.1280022015003,588.7507062101502,47.651452057338034,0.5402705827527022
