OF_ratio,temperature_K,pressure_Pa,P,CV,CP,T,M_avg,rho
1.0,290.0,10000,10000.000000342845,1777.5981128879212,2135.3442573616717,1176.8295579573069,23.24123612955754,0.023752617229921905
1.0,290.0,10250,10250.000000202397,1778.2708888295367,2135.9111376136975,1177.932944392136,23.24811775637451,0.024330829130745624
1.0,290.0,10500,10500.000000117423,1778.9281977917867,2136.4649316955183,1179.0110806277714,23.254848606386705,0.024908681748130313
1.0,290.0,10750,10750.000000066122,1779.5707495920758,2137.006241171862,1180.065123492063,23.261435459039454,0.02548618407835486
1.0,290.0,11000,11000.000000056905,1780.199205913432,2137.5356267724464,1181.0961514426874,23.267884639818657,0.026063344690426822
1.0,290.0,11250,11250.000000050082,1780.8141845773232,2138.053612019584,1182.1051715179465,23.274202060177352,0.026640171755426
1.0,290.0,11500,11500.000000044101,1781.4162633511162,2138.5606864601737,1183.093125533751,23.280393253163968,0.0272166730735613
1.0,290.0,11750,11750.000000038888,1782.0059833504636,2139.05730855387,1184.0608956196936,23.286463405272706,0.027792856098600088
1.0,290.0,12000,12000.000000034275,1782.5838520870536,2139.5439082599937,1185.0093091788845,23.29241738500022,0.02836872796026839
1.0,290.0,12250,12250.000000030232,1783.1503462053681,2140.020889360346,1185.9391433418116,23.298259768508075,0.028944295484771006
1.0,290.0,12500,12500.000000026668,1783.7059139456062,2140.488631549443,1186.8511289750177,23.30399486273724,0.029519565213620553
1.0,290.0,12750,12750.000000019867,1784.2509773653583,2140.9474923199355,1187.7459542970132,23.30962672627187,0.03009454342093759
1.0,290.0,13000,13000.000000017451,1784.785934347538,2141.397808666467,1188.6242681470312,23.31515918821415,0.030669236129421674
1.0,290.0,13250,13250.000000015321,1785.3111604192168,2141.8398986290795,1189.4866829452947,23.32059586528791,0.031243649125001174
1.0,290.0,13500,13500.000000013439,1785.8270104020178,2142.2740626935183,1190.3337773799822,23.325940177375124,0.03181778797044862
1.0,290.0,13750,13750.000000011814,1786.333819912641,2142.700585064339,1191.1660988500705,23.33119536164924,0.03239165801793648
1.0,290.0,14000,14000.000000010326,1786.8319067296254,2143.1197348244737,1191.9841656904441,23.336364485457032,0.032965264420678965
1.0,290.0,14250,14250.000000009068,1787.32157204032,2143.531766993083,1192.788469202193,23.341450458080864,0.033538612143736136
1.0,290.0,14500,14500.00000000793,1787.8031015804931,2143.936923492289,1193.5794755082125,23.346456041494683,0.034111705974049965
1.0,290.0,14750,14750.000000006932,1788.2767666776122,2144.3354340321534,1194.3576272518903,23.351383860217087,0.034684550529783816
1.0,290.0,15000,15000.000000006045,1788.7428252071938,2144.7275169218533,1195.123345154552,23.35623641035026,0.035257150269021216
1.0,290.0,15250,15250.000000005293,1789.201522471035,2145.1133798145756,1195.8770294455683,23.36101606788497,0.03582950949787964
1.0,290.0,15500,15500.000000004611,1789.653092004705,2145.4932203923686,1196.6190611774036,23.365725096342118,0.03640163237808734
1.0,290.0,15750,15750.000000003938,1790.0977563210965,2145.867226996742,1197.349803436597,23.370365653812723,0.036973522934065424
1.0,290.0,16000,16000.000000003467,1790.5357275960148,2146.235579210063,1198.0696024603947,23.3749397994544,0.03754518505955831
1.0,290.0,16250,16250.000000003029,1790.9672083011772,2146.5984483923517,1198.7787886677352,23.379449499491777,0.03811662252384219
1.0,290.0,16500,16500.00000000257,1791.392391789327,2146.9559981774237,1199.4776776123788,23.38389663276737,0.038687838977550695
1.0,290.0,16750,16750.000000002237,1791.8114628358032,2147.3083849320956,1200.1665708651085,23.38828299588239,0.039258837958144284
1.0,290.0,17000,17000.000000001983,1792.2245981407777,2147.655758182073,1200.845756831389,23.392610307962943,0.03982962289504427
1.0,290.0,17250,17250.00000000169,1792.631966794277,2147.998261006128,1201.5155115097552,23.396880215084778,0.040400197114471126
1.0,290.0,17500,17500.000000001462,1793.0337307090117,2148.3360304031035,1202.176099196446,23.40109429438488,0.04097056384399184
1.0,290.0,17750,17750.000000001222,1793.4300450223977,2148.6691976327274,1202.8277731404803,23.40525405788695,0.041540726216807974
1.0,290.0,18000,18000.00000000107,1793.8210584708504,2148.997888532911,1203.4707761534346,23.409360956063622,0.04211068727579971
1.0,290.0,18250,18250.000000000862,1794.2069137384656,2149.32222381532,1204.1053411776215,23.413416381157482,0.04268044997734165
1.0,290.0,18500,18500.000000000724,1794.5877477822837,2149.6423193410906,1204.7316918160254,23.417421670280174,0.04325001719490954
1.0,290.0,18750,18750.00000000064,1794.9636921358474,2149.9582863781184,1205.3500428270377,23.421378108306953,0.04381939172248831
1.0,290.0,19000,19000.000000000622,1795.3348731930175,2150.2702318416355,1205.9606005868084,23.42528693058294,0.044388576277796625
1.0,290.0,19250,19250.000000000404,1795.701412473248,2150.5782585190223,1206.563563521664,23.4291493254558,0.04495757350534088
1.0,290.0,19500,19500.000000000397,1796.0634268700535,2150.8824652803996,1207.1591225129569,23.432966436647646,0.04552638597931006
1.0,290.0,19750,19750.000000000397,1796.4210288837403,2151.182947275859,1207.7474612763874,23.436739365478513,0.04609501620631614
1.0,290.0,20000,20000.000000000276,1796.7743268396848,2151.4797961204417,1208.3287567177197,23.440469172952547,0.04666346662799934
1.0,290.5,10000,10000.000000104892,1777.6139315029784,2135.378843612094,1176.8925484050603,23.24001694055842,0.023750099977191002
1.0,290.5,10250,10250.000000199037,1778.2867111343662,2135.945716026678,1177.9960661560717,23.246898594533235,0.02432824951484179
1.0,290.5,10500,10500.000000115373,1778.944023897408,2136.499502619978,1179.0743310161868,23.253629472713232,0.024906039778460964
1.0,290.5,10750,10750.000000064934,1779.5865795999325,2137.0408049364446,1180.1284999327556,23.260216354488172,0.02548347976452542
1.0,290.5,11000,11000.000000056336,1780.2150399165291,2137.5701836876538,1181.1596514726725,23.266665565274227,0.02606057804173744
1.0,290.5,11250,11250.000000049587,1780.8300226609406,2138.08816237912,1182.1687927764726,23.27298301645984,0.02663734278088546
1.0,290.5,11500,11500.000000043661,1781.4321055934513,2138.5952305421533,1183.1568657558955,23.279174241034596,0.02721378178190448
1.0,290.5,11750,11750.00000003848,1782.021829823198,2139.0918466219064,1184.1247526304999,23.28524442543817,0.027789902498299837
1.0,290.5,12000,12000.000000033891,1782.599702855952,2139.5784405642858,1185.0732808879627,23.291198438116773,0.028365712059548288
1.0,290.5,12250,12250.000000029897,1783.1662013306943,2140.0554161385276,1186.003227738375,23.2970408551857,0.028941217291617628
1.0,290.5,12500,12500.000000026368,1783.7217734825897,2140.5231530274636,1186.9153241233018,23.302775983542833,0.02951642473579407
1.0,290.5,12750,12750.0000000197,1784.266841364578,2140.9820087128182,1187.810258332049,23.30840788173249,0.03009134066598251
1.0,290.5,13000,13000.000000017275,1784.8018028552635,2141.4323201789985,1188.6886792707244,23.31394037881985,0.030665971104675754
1.0,290.5,13250,13250.000000015185,1785.3270334777746,2141.8744054564995,1189.5511994228023,23.31937709149448,0.03124032183760561
1.0,290.5,13500,13500.000000013302,1785.842888050034,2142.3085650220596,1190.398397536349,23.324721439606495,0.03181439842735582
1.0,290.5,13750,13750.000000011718,1786.3497021853848,2142.7350830718538,1191.2308210670935,23.329976660299437,0.0323882062259183
1.0,290.5,14000,14000.000000010272,1786.8477936592053,2143.154228680882,1192.0489884037695,23.335145820892656,0.032961750386334365
1.0,290.5,14250,14250.000000008851,1787.3374636559138,2143.5662568608504,1192.8533908985942,23.340231830642544,0.03353503587349755
1.0,290.5,14500,14500.000000007905,1787.8189979085887,2143.9714095268873,1193.6444947230632,23.345237451499123,0.03410806747419211
1.0,290.5,14750,14750.000000006892,1788.2926677421474,2144.369916382415,1194.4227425667975,23.35016530795837,0.03468084980642704
1.0,290.5,15000,15000.00000000593,1788.758731029789,2144.7619957303964,1195.1885551951464,23.355017896101486,0.03525338732813934
1.0,290.5,15250,15250.000000005148,1789.2174330711346,2145.147855218132,1195.9423328794308,23.359797591899607,0.03582568434530549
1.0,290.5,15500,15500.00000000453,1789.6690073997217,2145.527692522102,1196.684456712124,23.364506658855028,0.03639774501951768
1.0,290.5,15750,15750.000000003962,1790.1136765265496,2145.9016959785413,1197.415289817951,23.369147255041717,0.03696957337506636
1.0,290.5,16000,16000.00000000337,1790.551652625656,2146.2700451648284,1198.1351784706292,23.373721439600935,0.0375411733055691
1.0,290.5,16250,16250.000000002961,1790.983138167117,2146.63291143626,1198.8444531239645,23.378231178742105,0.03811254858018135
1.0,290.5,16500,16500.000000002587,1791.4083265021495,2146.9904584221763,1199.5434293650644,23.382678351293638,0.038683702849419715
1.0,290.5,16750,16750.000000002186,1791.827402404649,2147.342842485131,1200.2324087966356,23.387064753843053,0.03925463965063053
1.0,290.5,17000,17000.000000001808,1792.2405425734564,2147.6902131467964,1200.9116798547152,23.391392105504064,0.03982536241312664
1.0,290.5,17250,17250.000000001626,1792.647916097338,2148.032713482095,1201.5815185671456,23.395662052340423,0.040395874463023444
1.0,290.5,17500,17500.00000000143,1793.0496848878358,2148.37048048622,1202.2421892582681,23.399876171478013,0.04096617902778553
1.0,290.5,17750,17750.000000001237,1793.4460040812821,2148.703645415433,1202.8939452040713,23.404035974929954,0.041536279240516
1.0,290.5,18000,18000.000000001015,1793.837022413054,2149.032334104321,1203.5370292420284,23.408142913159008,0.042106178143999536
1.0,290.5,18250,18250.000000000884,1794.2228825662949,2149.3566672614006,1204.1716743393324,23.4121983783984,0.04267587869451907
1.0,290.5,18500,18500.00000000064,1794.6037214971227,2149.676760744774,1204.7981041228788,23.41620370775091,0.04324538376546038
1.0,290.5,18750,18750.00000000059,1794.979670738285,2149.9927258195135,1205.416533374068,23.42016018608345,0.04381469615072237
1.0,290.5,19000,19000.000000000506,1795.3508566828013,2150.3046693980523,1206.027168491176,23.424069048733433,0.044383818567940006
1.0,290.5,19250,19250.00000000048,1795.7174008494212,2150.6126942651904,1206.630207921849,23.42793148404095,0.04495275366153869
1.0,290.5,19500,19500.00000000043,1796.079420130952,2150.916899288528,1207.2258425679627,23.4317486357211,0.04552150400562765
1.0,290.5,19750,19750.00000000031,1796.437027027066,2151.217379615776,1207.8142561650016,23.4355216050874,0.046090072106743096
1.0,290.5,20000,20000.000000000273,1796.7903298625172,2151.514226859674,1208.3956256378078,23.4392514531376,0.0466584604064514
